,tagline
1184,Innocence is a dangerous friend.
1185,An evil knight gives nobility a bad name.
1186,Size does matter.
1187,Brace yourself. This politician is about to tell the truth!
1188,"Buy the ticket, take the ride."
1189,"You'll laugh, you'll cry, you'll be offended"
1190,A truckload of cell phones... turns into a boatload of cash!
1191,Almost History... Almost Legends... Mostly Ridiculous.
1192,"When life fell apart, love fell into place."
1193,No peace for the wicked
1194,Murder is in the eye of the beholder.
1195,A powerful husband. An unfaithful wife. A jealous lover. All of them have a motive. Each of them has a plan.
1196,"After this week in paradise, they’re going to need a vacation."
1197,Yesterday's history.  Tomorrow's the future.  Tonight's the party.
1198,"Who knew deception, treachery and revenge could be this much fun..."
1199,"a story of ambition, sacrifice, seduction and other career moves."
1200,A Little Secret...Their Biggest Adventure!
1201,A dreamer who couldn't sleep. An author who couldn't write. A friend who couldn't help but help.
1202,"This time, the princess saves the prince."
1203,Fight the Future
1204,"One doesn't count, the other can't. Dis-organised crime."
1205,He doesn't just talk to the animals!
1206,Opposites attract.
1207,On St. Valentine's Day in 1900 a party of schoolgirls set out to picnic at Hanging Rock ... Some were never to return.
1208,Billy Brown just got out of jail. Now he's going to serve some real time. He's going home.
1209,The Earth's Darkest Day Will Be Man's Finest Hour
1210,The faces you love. The action you expect.
1211,"In an old house in Paris, that was covered with vines..."
1212,"The few, the proud, and the small."
1213,"There will be no order, only chaos"
1214,"1981. In an era of just say no, they said yes."
1215,Love Is In The Hair.
1216,Unspeakable Horrors From Outer Space Paralyze The Living And Resurrect The Dead!
1217,"Youth, hitting the clouds! Laughing at danger! Fighting, loving, dodging death! That's"
1218,The pulsating drama of Broadway's bared heart speaks and sings with a voice to stir your soul!
1219,They left for war as boys never to return as men.
1220,Terrific as all creation!
1221,Thank The Stars For A Great Entertainment !
1222,Clark Gable as the daring mutineer in the screen's most exciting adventure story!
1223,The Last Word In Entertainment!
1224,He'll Hold You In Silence As Deep As Your Emotions !
1225,YOU'LL LOVE THEM ALL FOR GIVING YOU THE SWELLEST TIME YOU'VE EVER HAD!
1226,Millions Have Read This Great Novel... Millions more will see an even greater picture!
1227,"""Mrs. Miniver"" is more than a picture -- It's dramatic. It's tender. It's human. It's real."
1228,"When the St. Louis Browns lost Bing, the Cardinal got a good singer!"
1229,The screen dares to open the strange and savage pages of a shocking bestseller!
1230,Three wonderful loves in the best picture of the year!
1231,He Might Have Been A Pretty Good Guy … If Too Much Power … And Women … Hadn’t Gone To his Head!
1232,Pouring out of impassioned pages...brawling their way to greatness on the screen!
1233,The Man Lived by the Jungle Law of the Docks!
1234,EVERYBODY'S RAVING ABOUT
1235,The screen achieves one of the great entertainments in the history of motion pictures
1236,Tom Jones! . . . loves and loves and loves and loves . . .
1237,...a motion picture for all times!
1238,They got a murder on their hands.  They don't know what to do with it.
1239,Much Much More Than a Musical!
1240,Whatever you hear about Midnight Cowboy is true.
1241,There are no rules and no holds barred when Popeye cuts loose!
1242,His whole life was a million-to-one shot.
1243,There are three sides to this love story
1244,Everything is in its proper place...except the past.
1245,"This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor."
1246,Based on a true story.
1247,"He was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change."
1248,A journey through understanding and fellowship.
1249,"The funny, touching and totally irresistible story of a working relationship that became a 25-year friendship."
1250,Crime lives!
1251,You'd never take her for a call girl. You'd never take him for a cop.
1252,It’s 4 a.m. Do you know where your car is?
1253,Finally... A film about the downwardly mobile.
1254,Where everything seems possible and nothing is what it seems.
1255,"They only met once, but it changed their lives forever."
1256,Someone is coming back to Elm Street!
1257,"If you think you're ready for Freddy, think again!"
1258,Terror beyond your wildest dreams.
1259,"Now Freddy’s a daddy, he’s killing for two."
1260,They saved the best for last.
1261,"They were warned...They are doomed...And on Friday the 13th, nothing will save them."
1262,The body count continues...
1263,There's nowhere to hide. We dare you to try.
1264,"Jason's Back, and this is the one you've been screaming for."
1265,A New Beginning to the first step in terror.
1266,Kill or be killed!
1267,"Jason is back, but this time someone's waiting!"
1268,The Big Apple's in BIG trouble!
1269,The Night He Came Home
1270,The nightmare isn't over!
1271,...and now the earth will run with blood again!
1272,Horror has returned to Haddonfield.
1273,"Michael Lives, And This Time They're Ready!"
1274,If you're not back by midnight... you won't be coming home!
1275,You Can't Keep a Bad Girl Down
1276,A Romantic Comedy from Hell
1277,"They ditched the prom for a private party, now it's their last dance."
1278,Chucky is one mean S.O.B.
1279,Look out Jack! Chucky's back!
1280,Chucky has a new playmate.
1281,They're here.
1282,They're back.
1283,He's found her.
1284,"Something almost beyond comprehension is happening to a girl on this street, in this house... and a man has been sent for as a last resort. This man is The Exorcist."
1285,It's four years later... what does she remember?
1286,Do you dare walk these steps again?
1287,If these two can learn to stand each other... the bad guys don't stand a chance.
1288,The magic is back!
1289,The magic is back again!
1290,"Don't get him wet, keep him out of bright light, and never feed him after midnight."
1291,Here they grow again.
1292,"The pirates map, The villainous crooks, The underground caverns, The booby traps, The skeletons, The monster, The lost treasure, and the magic that is... THE GOONIES."
1293,No one has seen his face... but everyone ... knows this mark.
1294,"Sometimes the further you stray, the closer you are to home."
1295,Meet Marty and Carol. Two people who are very good at being bad.
1296,What is the secret of Soylent Green?
1297,There can be no understanding between the hands and the brain unless the heart acts as mediator.
1298,"Roads? Where we're going, we don't need roads!"
1299,They've saved the best trip for last... But this time they may have gone too far.
1300,Who will survive-in one of the greatest escape adventures ever!
1301,"Annabel and her Mother are not quite themselves today - in fact, they're each other!"
1302,THIS UNIDENTIFIED FLYING OBJECT THREW A PENTAGON INTO A PANIC!
1303,"As belles, they were ding-dongs... they enlisted, and were rotten to the corps... and when things got hotter... they went to the cooler... now, they're on the loose again!"
1304,A great love story.
1305,The Mighty Warriors Who Became the Seven National Heroes of a Small Town
1306,Lust. Seduction. Revenge. The Game As You've Never Seen It Played Before.
1307,"A world beyond your experience, beyond your imagination."
1308,All the power on earth can't change destiny.
1309,"""It goes places movies seldom dare to go."""
1310,A forbidden love. An unthinkable attraction. The ultimate price.
1311,In Cradle Bay it doesn’t matter if you’re not perfect.  You will be.
1312,See it early. Avoid the mob.
1313,The mission is a man.
1314,Lights!... Camera!... Attraction!
1315,The Secret To Success Is Pure Monkey Business
1316,Hidden by darkness. Guarded by witches. Discovered by a boy. Stolen by a king. Whoever owns it will rule the world. Or destroy it.
1317,A journey that begins where everything ends!
1318,He's out'a sight...literally!
1319,Quick thinking landed him a million bucks... now everybody's after it!
1320,A close encounter of the 'furred' kind!
1321,An action adventure romantic comedy spy story.
1322,The Puck Stops Here!
1323,A new high in being lowdown.
1324,A far off land. A far off journey. A far off adventure.
1325,Come along on the greatest adventure of the summer!
1326,A Tall Tale About Little People!
1327,London's crime-fighting ace on his most baffling case!
1328,"Yes, We Have A Bananza!"
1329,The Love Bug falls 'hood-over-wheels' for a classy chassis!
1330,It's just a bunch of Hocus Pocus.
1331,The BIG Laughs Start January 6th!
1332,"The most astonishing, innovative, backyard adventure of all time!"
1333,"A Thousand Thrills, And Hayley Mills!"
1334,Three against the wilderness... nothing could stop them - only instinct to guide them across 200 perilous miles of Canadian wilderness!
1335,He frees hostages for a living. Now he's taking hostages to survive.
1336,"Twice the Fun, Double the Trouble."
1337,Two guys invented a game... and turned the sports world upside down!
1338,A MAN - Trying to run away from his past... A WOMAN - Trying to escape her future...
1339,"Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara."
1340,"Robert Duvall is Mac Sledge, down and out country singer. His struggle for fame was over. His fight for respect was just beginning."
1341,He's a man of peace in a savage land... Suburbia.
1342,The Most Controversial Picture of Our Time!
1343,It's a strange world.
1344,The Jungle is JUMPIN'!
1345,She's from the leash and license set... he's footloose and collar free!
1346,Somewhere under the sea and beyond your imagination is an adventure in fantasy.
1347,They can't skate. They can't win. They can't be serious.
1348,A Thousand Voices. A Single Dream.
1349,The Canine Caper of the Century
1350,It will live in your heart forever!
1351,The sailor man with the spinach can!
1352,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!
1353,Sinister forces from this world against two young space travellers from another.
1354,The Aladdin adventure continues...
1355,An all-new adventure down the yellow brick road.
1356,"Three years before the United States declares war, Cliff Secord leads America's first battle against the Nazis."
1357,The Only Candidate with a Law Degree and a Pedigree!
1358,Awaken to a World of Wonders!
1359,What would you give a man who could make your deepest dreams come true?
1360,"The Professor's ""Off"" and Flying... and FUN SCORES A NEW HIGH!"
1361,Here Comes The Zip-A-Dee-Doo-Dah Show!
1362,Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!
1363,Sometime the hero ends up being you!
1364,A world inside the computer where man has never been.  Until now.
1365,In a world on the brink of war. You either march to one tune or dance to another.
1366,Blood is thicker than Water.
1367,A rags to riches to rags story.
1368,Laugh...or I’ll blow your lips off!
1369,So funny you'll laugh your head off.
1370,Stephen King took you to the edge with The Shining and Pet Sematary. This time... he pushes you over.
1371,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.
1372,If adventure has a name... it must be Indiana Jones.
1373,Fantasy...beyond your imagination
1374,George Orwell's Terrifying Vision Comes To The Screen.
1375,"In his mind, he has the power to see the future. In his hands, he has the power to change it."
1376,Stephen King's masterpiece of terror directed by the master himself.
1377,Buy Now. Pay Later.
1378,Now there's a new name for terror...
1379,In their world adults are not allowed... to live.
1380,But not all dogs stay there!
1381,Weird Is Relative
1382,Desire. Defy. Escape.
1383,Believe everything except your eyes.
1384,Welcome to the world of disorganised crime.
1385,"She made him become what he always wanted to be - a lover, a hero, a rich man...and a killer!"
1386,You are cordially invited to George and Martha's for an evening of fun and games
1387,She thought babysitting was easy money - until she started hanging out with the Andersons.
1388,"If you can't get a date, make one!"
1389,Ride across the sea inside the GIANT PINK SEA SNAIL!
1390,What does he become? What kind of monster?
1391,That humble radiant terrific book is now a humble radiant terrific movie.
1392,"All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you."
1393,Right before your eyes and beyond your wildest dreams.
1394,"Another World, Another Time... In the Age of Wonder."
1395,"Meet Fievel. In his search to find his family, he discovered America."
1396,"Look out pardners, there's a new mouse in town!"
1397,There may never be another dawn.
1398,When you're just sixteen anything can happen!
1399,Blane's a pretty cool guy. Andie's pretty in pink. And Ducky's pretty crazy.
1400,The passion burns deep.
1401,"At The Dawn Of Mankind, A Woman Led The Way."
1402,"Ding dong, You’re dead."
1403,It's an all new house with brand new owners
1404,The critics are raving... the natives are restless... and the laughter is non-stop!
1405,"This Time, Everybody's Going Crazier."
1406,Saving the World in Style.
1407,Sometimes you have to break the rules to free your heart.
1408,Growing Up is Hard to Do
1409,The shocking true story of Henry Lee Lucas.
1410,Pray for Rosemary's Baby
1411,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!
1412,Begin an all new adventure as a young boy returns to a world of wonder on the wings of his imagination.
1413,Aaargh!...
1414,A modern immorality tale.
1415,Give up three years of their lives or give up the life of their friend. They have eight days to decide.
1416,Part Man. Part Vampire. All Hero.
1417,"In the dance of life, love can happen in a heartbeat."
1418,It's not just a movie. It's every movie.
1419,Romance Is Her Destination.
1420,He's guaranteed to put some life in your afterlife.
1421,There’s no body in the family plot.
1422,Just an ordinary necktie used with a deadly new twist.
1423,It tears you apart with suspense!
1424,Thief... Liar... Cheat... she was all of these and he knew it!
1425,Somewhere...somewhere there must be the right man!
1426,A little knowledge can be a deadly thing!
1427,A THRILLER with a difference!
1428,It starts with a shriek of a train whistle...and ends with shrieking excitement.
1429,Love held its breath as sudden terror held the stage!
1430,You've never been anywhere until you've been here
1431,The story of three very different women.....with one husband in common.
1432,Adventure doesn't come any bigger than this.
1433,What are you prepared to do?
1434,Revenge is a dish best served DIRTY.
1435,Passion has no limits
1436,"Mystery, murder and passion from the master of suspense!"
1437,"Six men and three women - against the sea, and each other!"
1438,A Blast of DRAMATIC Dynamite exploded right before your eyes!
1439,You'd like to say - IT CAN'T HAPPEN HERE!... but every jolting scene is TRUE!!
1440,Lombard and Montgomery Get Hitched As They're Getting Unhitched !
1441,"In his arms she felt safety...in his absence, haunting dread!"
1442,Spies! Playing the game of love - and sudden death!
1443,...A Bomb Plot ...A Killing ...Justice
1444,Public Enemy No. 1 of all the world...
1445,See and Hear It - Our Mother Tongue As It Should Be Spoken
1446,Trust everyone... But always cut the cards.
1447,Don't look for a reason... Look for a way out.
1448,Destiny has big plans for little Simon Birch.
1449,PRE. The way he competed. The way he lived his life.
1450,Terrorized in the Toilets? Chased after school? Shaken down for lunch money? GET A BODYGUARD
1451,"The good news is, Jonathan's having his first affair. The bad news is, she's his roommate's mother!"
1452,It's the story of their lives.
1453,Who says you can't do it all in one night?
1454,For anyone who's ever won. For anyone who's ever lost. And for everyone who's still in there trying.
1455,They're her family... Whether she likes it or not.
1456,To know Lloyd Dobler is to love him. Diane Court is about to know Lloyd Dobler.
1457,The stars of Parenthood in comedy about an urban hood finding suburbanhood.
1458,We're all heroes if you catch us at the right moment. Even Bernie Laplante.
1459,Laughter is a state of mind.
1460,Blessed with a gift. Challenged by love.
1461,Warning: This Movie May Be Dangerous To Your Health. You May Never Stop Laughing.
1462,You will not feel the terror until you experience the movie!
1463,He's 16. She's 22. All he wanted was her picture. What he got was... no small affair.
1464,She's the hottest thing on the beach. She's also his best friend's daughter!
1465,They're on the wrong side of the law for all the right reasons.
1466,"They're out of school, out on Nantucket, and out of their minds. With this crowd, anything can happen!"
1467,Making love was easy...being in love difficult.
1468,The seals have been broken. The prophecies have begun. Now only one woman can halt the end of our world.
1469,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.
1470,All they wanted was a little getaway. All they got was nothing but trouble.
1471,There's Magic In The Air.
1472,Murder is a secret that should never be shared.
1473,A husband. A wife. A millionaire. A proposal.
1474,"He had a great job, beautiful wife and a habit the size of Utah."
1475,Love What You Have.
1476,The Fastest Hands in the East Meet the Biggest Mouth in the West.
1477,Vegas Needs a New King.
1478,The city of lights. A famous American author and the decade that changed a generation...forever.
1479,Your ally could become your enemy.
1480,It Happened To Someone Who Knows Someone You Know... You're Next.
1481,"Some killers are strange, some are deranged, and some are just plain psycho."
1482,He never realized how far 35 millimeters would take him.
1483,A woman's dangerous and erotic journey...
1484,Revenge was her reply.
1485,Which side would you be on?
1486,BEWARE! See this movie - An hour later you'll want to see it again!
1487,The Amazing New Warner Bros. Sensation!
1488,Man is The Warmest Place to Hide.
1489,Everything you've heard is true!
1490,His scars run deep.
1491,"They've got 24 hours to stop a package, prevent a disaster, and fall in love."
1492,Every ant has his day.
1493,Why be yourself when you can be somebody else?
1494,Score!
1495,After life there is more. The end is just the beginning.
1496,Hollywood Never Faced a Zanier Zero Hour!
1497,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!"
1498,"Truth, Justice and the Gambini Way"
1499,Wild. Wonderful. Sinful. Laughing. Explosive.
1500,Words make sense of a world that won't.
1501,The Comedy Where Nothing's Sacred!
1502,The quest for friendship is the noblest cause of all
1503,"""Something wonderful is going to happen"""
1504,Love has a language all of its own.
1505,I am not an animal! I am a human being! I... am... a man!
1506,The past has a life of its own.
1507,Chucky Gets Lucky.
1508,"For two sisters from a family of witches, falling in love is the trickiest spell of all."
1509,Finding happiness can be a tragic comedy.
1510,"If you don't believe in the existence of evil, you've got a lot to learn."
1511,Nothing is as simple as black and white.
1512,"Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight"
1513,"An unforgettable fable that proves love, family and imagination conquer all."
1514,Fighting crime never felt so good!
1515,From the depths of four twisted minds.
1516,From the Master of Evil. Comes a New Breed of Terror
1517,Some Legacies Must End.
1518,On November 6th our freedom is history
1519,You can mess with him. But don't mess with his water.
1520,Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.
1521,Style matters. Even when it comes to murder.
1522,Someone is dying for a second chance.
1523,Somewhere between L.A. and N.Y. Jake found the meaning of Christmas.
1524,Sooner or later everyone does.
1525,"Desperate, And Determined To Survive."
1526,Something strange is happening in the town of Stepford.
1527,Charlie and Paulie. Two dreamers fighting to get lucky.
1528,Love Kills.
1529,The story of a betrayed but unquenchable little Roman street-walker.
1530,"The story of eight old friends searching for something they lost, and finding that all they needed was each other."
1531,It's not paranoia if they're really after you.
1532,An epic presentation of miniature proportions.
1533,A funny look at people who will do anything to get famous... or stay famous.
1534,He was looking for the father he never knew. She was looking for a second chance.
1535,How far would you go to win a fortune!
1536,An exercise in poor taste.
1537,"The strange case of a ""man"" who changed his SEX!"
1538,It's Alive!
1539,Your favorite fire breathing monster... like you've never seen him before!
1540,The motion picture screen beckons you to adventure that thrills the emotions with shock and terror!
1541,A Monster of Creation's Dawn Breaks Loose in Our World Today!
1542,The most exciting original motion picture event of all time.
1543,America's biggest hero is back... and he is not happy.
1544,Roberta is desperate to be Susan. Susan is wanted by the mob. The mob finds Roberta instead...
1545,What kind of man would return year after year for ten years to rescue a missing boy from the most savage jungle in the world? His father.
1546,Meet the only guy who changes his identity more often than his underwear.
1547,When there's more trouble than one man can handle...there's more than one man for the job.
1548,A woman and a warrior that became a legend.
1549,"When East meets West, the laughs shift into high gear!"
1550,For everyone who's ever been deeply in Love or deeply in debt.
1551,Has James Bond finally met his match?
1552,"In the blink of an eye, the terror begins."
1553,What an Institution!
1554,"To protect, to serve... and make you laugh. America's funniest crimebusters are back!"
1555,Run for cover!
1556,"On land, on sea, or in the air, no place is safe from them!"
1557,Hold everything! The cadets are dropping in on Miami Beach for an all new adventure.
1558,The Grads are going undercover in the city to unmask the mastermind of crime.
1559,This little pig went to the city...
1560,A long shot romance in a short order world.
1561,They've been bad. Very bad.
1562,What he inherited was a sexual awakening...
1563,A new vision of a classic nightmare.
1564,Finding your own voice can be magic.
1565,Sometimes good people do evil things.
1566,Jack Frost is getting a second chance to be the world's coolest dad... if he doesn't melt first.
1567,The battle for paradise has begun.
1568,The Power Is Real.
1569,Love. Expulsion. Revolution.
1570,Love is the only inspiration.
1571,Capture the spirit of Christmas with this timeless classic!
1572,Guess Who's Coming To Town!
1573,They lost the true spirit of Christmas...And found it locked in the heart of one little girl.
1574,... and hell followed with him.
1575,"What most people call hell, he calls home."
1576,This time he's fighting for his life.
1577,The first was for himself. The second for his country. This time it's to save his friend.
1578,"When the going gets tough, the tough get going."
1579,"She's a girl from the big city. He's a reckless soldier of fortune. For a fabulous treasure, they share an adventure no one could imagine... or survive."
1580,"Beyond the innocence of youth, and the wisdom of age, lies the wonder of... Cocoon"
1581,"This holiday season, journey to the most wonderful place in the universe... home."
1582,Once he fought for a dream. Now he's fighting for love!
1583,The greatest challenge.
1584,He's facing the ultimate challenge. And fighting for his life.
1585,Go for it!
1586,"Seven Suspects, Six Weapons, Five Bodies and Three Endings."
1587,"Before a lifetime of adventure, they lived the adventure of a lifetime."
1588,"Registration starts Friday, June 13, at theaters everywhere."
1589,It's a comedy. And a drama. Just like life.
1590,"When fear made her a victim, she turned fear into a weapon."
1591,Only the 'Old One' could teach him the secrets of the masters.
1592,"This time, the combat is real."
1593,"First it was teacher to student. Then it was father to son. Now, it's man to man."
1594,Yule crack up.
1595,Someone you pass on the street may already be the love of your life.
1596,"The extraordinary true story of the rise and fall of the gangster, Martin Cahill."
1597,Every man fights his own war.
1598,Take me to your teacher.
1599,Survival is an instinct.
1600,Merian Cooper's amazing adventure in the unusual!
1601,Laughter is contagious
1602,Be there for the joy. Be there for the tears. Be there for each other.
1603,Justice has its price.
1604,"Sometimes, the last place you expected to be is the one place you've always belonged..."
1605,Loved for being unique. Hated for being different.
1606,Somewhere down the road is the end of the line.
1607,We live at the abyss.
1608,A woman like Mona can drive men to extremes.
1609,Two sisters. Two lives. One Love...
1610,"If romance is a mystery, there's only one way to figure it out."
1611,Science gave him sight. She gave him vision.
1612,You don't have to sleep to dream
1613,It takes a hero to know what's worth winning.
1614,Life on earth is in for a shock.
1615,It doesn't get any grosser than this!
1616,You will believe that a duck can talk.
1617,Pray it's not too late.
1618,A very special love. And a very special magic. But is it real magic or just an illusion?
1619,If she looked upon the horror her husband had become... she would scream for the rest of her life!
1620,Be afraid. Be very afraid.
1621,Like Father Like Son
1622,Two of Chicago's Finest?
1623,Undercover. Overdressed. And keeping you safe from the scum of the earth
1624,Who will survive and what will be left of them?
1625,After a decade of silence... The buzzz is back!
1626,He puts the teeth in terror.
1627,"If looks could kill, he wouldn't need a chainsaw."
1628,Sam Stone's wife has just been kidnapped... And he doesn't want her back!
1629,What are you afraid of? It's only rock and roll...
1630,There's no one alive who'll play with the girl next door.
1631,"Who, in the name of God, is getting away with murder?"
1632,An Adventure In Comedy
1633,"Knowing what you know now, what would you do differently?"
1634,There's a little of him in all of us.
1635,The world's favourite adventurer is back for more! much more!
1636,They're Out To Teach A New World Some Old Tricks.
1637,A comedy with heart and soul
1638,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.
1639,They shouldn't have blackmailed Harry Mitchell. He made them pay - in blood...
1640,...the scars run deep.
1641,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!"
1642,Gloria. Big mouth. Big attitude. But who knew she had a big heart.
1643,"They were ""Strange Fruit"". Some called them the greatest rock band of the '70s. They haven't played together for 20 years. No wonder they're worried about their performance."
1644,A devilishly dark comedy
1645,These two opposites attract... but EVERYONE'S trying to keep them apart!
1646,A story about getting everything you want and what comes next
1647,What made this the most diabolical murder weapon ever used?
1648,No More Mr. Nice Guy.
1649,Magic opened up their hearts... Love did the rest.
1650,A comedy so real you'll think it's fiction.
1651,Everything you're about to see is true.
1652,A Sublime Trip to a Fine New World
1653,She'd never met anyone like him. He's never met anyone... Period.
1654,A story of love lost and found.
1655,The martian has landed. There goes the neighborhood.
1656,Suck it and see...
1657,Sometimes one dream is enough to light up the whole sky.
1658,Work sucks.
1659,It's 11:59 on New Years Eve... do you know where your date is?
1660,You can't prepare for where the truth will take you.
1661,A love story for the romantically challenged.
1662,Nothing says goodbye like a bullet...
1663,Sometimes dead is better.
1664,Raise Some Hell.
1665,These children are home alone too. But their parents are never coming back.
1666,An Adult Nightmare is about to show its face in the heart of a city!
1667,How do you kill something that can't possibly be alive?
1668,"Ever since two enterprising young men turned the City Morgue into a swinging business, people have been dying to get in."
1669,Consult your doctor! Bring your seat belts!
1670,The #1 novel of the year - now a motion picture!
1671,"Something hit us... The crew is dead... Help us, please, please help us!"
1672,"Flight 23 has crashed in the Bermuda Triangle... passengers still alive, trapped underwater..."
1673,Watch out for the Man watching the Rollercoaster
1674,The world's tallest building is on fire. You are there on the 135th floor ... no way down ... no way out.
1675,"It lives 50 feet beneath the city. It's 36 feet long. It weighs 2,000 pounds...And it's about to break out!"
1676,There's No Place On Earth To Hide!
1677,Westworld ...where robot men and women are programmed to serve you for ...Romance ...Violence ...Anything
1678,The only thing you can't have in Logan's world is your 30th birthday. Unless you run away.
1679,"Somewhere in the Universe, there must be something better than man!"
1680,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!
1681,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!
1682,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!
1683,Meet baby Milo who has Washington terrified.
1684,Six million tons of icy terror!
1685,When the big one finally hits L.A.
1686,"At twice the speed of sound, can the Concorde evade attack?"
1687,"Before her fate is sealed by the deep, the superliner Poseidon will reveal one last secret."
1688,New York's most powerful gangster is about to get in touch with his feelings. YOU try telling him his 50 minutes are up.
1689,You can't play by the rules if there aren't any.
1690,"In the game of seduction, There is only one rule: Never fall in love."
1691,A Disgrace to Criminals Everywhere.
1692,The search for her son was over. The search for her family was just beginning.
1693,Looks Can Kill
1694,An action packed thrill ride!
1695,You may not believe in ghosts but you cannot deny terror
1696,Two bodies. Two minds. One soul.
1697,A comedy that proves true love never dies.
1698,What Demonic Force Lurks Behind Those Eyes?
1699,Beware the eyes that paralyze!!!
1700,Think innocent. Think helpless. Think again. Naps are history.
1701,In the bowels of France
1702,"He went from the eye of the storm, into the arms of a hurricane."
1703,The All New Animated Family Spectacular Adapted From The Musical By Rodgers And Hammerstein
1704,You Are Who You Eat
1705,They Always Wanted to be Famous... They Never Knew They'd be Wanted!
1706,Born without privilege. Bound by tradition. She found the courage to follow her heart.
1707,More than your eyes have ever seen... More than your heart has ever known!
1708,You'll Dig Doug!
1709,Fame. Be careful. It's out there.
1710,First they broke the law. Now they are the law.
1711,"a love story from the writer of ""The Full Monty""."
1712,It was the summer of Woodstock... when she became the woman she always wanted to be.
1713,Welcome to the Real World.
1714,How do I loathe thee? Let me count the ways.
1715,Tango: do not ever leave me
1716,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why."
1717,A weekend wasted is never a wasted weekend.
1718,A Comedy With Class.
1719,Twice the action!
1720,"Welcome to Holly Springs... home of murder, mayhem and catfish enchiladas."
1721,Destiny cannot be denied.
1722,No one's ever been so good at being so bad.
1723,Share it with someone you love.
1724,... can you tell the difference?
1725,A Journey to Love
1726,God bless America... they're going to need it.
1727,A comedy about a guy who would do anything to get the girl of his dreams - and did!
1728,A comedy about losing control
1729,Reading. Writing. Revenge.
1730,Play it. Live it. Kill for it.
1731,The trap is set.
1732,The touching story of a boy and his right hand.
1733,The war is over.  But a personal battle continues to rage.
1734,A mother's love leads to murder
1735,They came. They Shopped. They saved the world!
1736,We must not destroy the world.
1737,Their turf. Their game. Their rules. They didn't count on HIS law...
1738,The legend you know. The adventure you have yet to imagine.
1739,Ordinary Family. Extraordinary Story.
1740,A Journey Of The Heart.
1741,Hold on to Your Heart. Cupid is Armed and Dangerous.
1742,What is the one memory you would take with you?
1743,Every generation has a legend. Every journey has a first step. Every saga has a beginning.
1744,No one knows who sent it. No one knows who it's for. But everyone's getting the same message.
1745,Touched by Genius. Cursed by Madness. Blinded by Love.
1746,They collect for the mob. But they'd rather act. Expect killer performances.
1747,It comes to life!
1748,Torn from the tomb to terrify the world!
1749,HANDS CREEPING LIKE COBRAS! EYES CRAWLING WITH MADNESS! THE MUMMY RUNS AMOK!
1750,Nameless! Fleshless! Deathless!
1751,The tomb of a thousand terrors!
1752,The FEAR of the Year!
1753,The meanest mother of them all
1754,You'll Believe a Man Can Fly!
1755,The Man of Steel meets his match!
1756,If the world's most powerful computer can control even Superman...no one on earth is safe.
1757,"Nuclear Power. In the best hands, it is dangerous. In the hands of Lex Luthor, it is pure evil. This is Superman's greatest battle. And it is for all of us."
1758,The story of the strangest passion the world has ever known!
1759,All the Screen's Titans of Terror - Together in the Greatest of All SCREEN SENSATIONS!
1760,The man who made a monster.
1761,The black shadows of the past bred this half-man . . . half-demon ! . . . creating a new and terrible juggernaut of destruction !
1762,All new THRILLS!
1763,The creature created by man and forgotten by nature!
1764,BLOOD on his lips...! DOOM in his eyes...! an accursed VAMPIRE!
1765,"""His hideous howl a dirge of death!"""
1766,It's not over yet.
1767,More terrifying than any horror known to man comes a creeping crawling monster whose towering fury no one can escape!
1768,A Different Set Of Jaws.
1769,We're going to make you LAUGH.
1770,Look Out...It's The Thing
1771,Fantastic sights leap out at you!
1772,Amazing! terrifying! The most savage spectacle of all time!
1773,... there was nothing to hold onto - except each other.
1774,Science changed him into a monster. Love changed him even more!
1775,Bold! Blunt! Blistering! The battle picture without equal!
1776,Gable and Lancaster make the seas boil in the battle adventure that hits like a torpedo!
1777,Can the most famous film star in the world fall for the man on the street?
1778,Question reality. You can go there even though it doesn't exist.
1779,"In Havana, music isn't a pastime, it's a way of life."
1780,"Once You Get There, You'll Never Want To Leave"
1781,Love long and party
1782,The Only Thing More Dangerous Than Death... Is Survival.
1783,"I'm back, baby!"
1784,An immortal legend. As you've only imagined.
1785,Go behind the lies.
1786,He just doesn't know it yet.
