,title,tagline
522,True Lies,"When he said I do, he never said what he did."
523,American Buffalo,They had a plan. It wasn't worth a nickle.
524,Sleepers,When friendship runs deeper than blood.
525,The Lion King,Life's greatest adventure is finding your place in the Circle of Life.
526,The Hudsucker Proxy,They took him for a fall guy... but he threw them for a hoop.
527,Strictly Ballroom,A life lived in fear... ...is a life half lived
528,Looking for Richard,A four hundred year old work-in-progress.
529,The Babysitter,Something about her captures the imagination.
530,The Arrival,The greatest danger facing our world has been the planet's best kept secret... until now.
531,White Squall,
532,A Clockwork Orange,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven."
533,The Confessional,
534,Twister,The Dark Side of Nature.
535,Roommates,
536,Big Night,"In love and life, one big night can change everything."
537,In the Line of Fire,An assassin on the loose. A president in danger. Only one man stands between them...
538,Crumb,Weird sex · Obsession · Comic books
539,Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge."
540,Apocalypse Now,This is the end...
541,Lightning Jack,
542,The Tie That Binds,
543,Only You,A love story written in the stars.
544,I.Q.,Think Love.
545,The Secret Garden,"The timeless tale of a special place where magic, hope and love grow."
546,Margaret's Museum,She found a way to preserve her memories forever.
547,Old Yeller,"All the heart, all the excitement of a great frontier adventure!"
548,The Pagemaster,All The Adventure Your Imagination Can Hold.
549,"Yes, Madam",
550,Operation Dumbo Drop,A Top-Secret Mission Of Gigantic Proportions!
551,Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen."
552,Before and After,A murder. A suspect. A shadow of a doubt.
553,The Remains of the Day,Diamond in the Rough
554,The Spitfire Grill,"To a town with no future, comes a girl with a past."
555,How To Make An American Quilt,There's beauty in the patterns of life.
556,Kaspar Hauser,
557,Private Benjamin,
558,Highlander: The Final Dimension,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
559,Beyond Bedlam,Psychological Terror Beyond Your Wildest Nightmares
560,Carrington,A Love so Unusual it has to be True
561,Red Rock West,Where nothing is as it seems.
562,A Walk in the Clouds,A man in search. A woman in need. A story of fate.
563,Dead Poets Society,He was their inspiration. He made their lives extraordinary.
564,Hear My Song,There's definitely magic in the air
565,Casablanca,They had a date with fate in Casablanca!
566,My Family,Three generations of dreams.
567,Lassie,Best Friends Are Forever
568,The Adventures of Pinocchio,A new angle on the classic tale... And that's no lie!
569,Tank Girl,"In 2033, justice rides a tank and wears lip gloss."
570,Little Buddha,A magical journey to a place where the past and present meet
571,Feeling Minnesota,"Just when she met the man of her dreams, along came her husband to ruin everything."
572,Wings of Desire,There are angels on the streets of Berlin.
573,Casper,Get an afterlife
574,Chungking Express,What a difference a day makes
575,The Doors,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
576,The Shaggy Dog,"""I was a Teen-age boy!"""
577,Clueless,Sex. Clothes. Popularity. Is there a problem here?
578,Speed,Get ready for rush hour
579,The Bloody Child,An interior of violence.
580,Apollo 13,"Houston, we have a problem."
581,The Puppet Masters,Trust No One
582,The Cowboy Way,
583,Thinner,Let the curse fit the crime.
584,The Baby-Sitters Club,Friends Forever
585,Sabrina,You are cordially invited to the most surprising merger of the year.
586,The Funeral,"One family, one murder, too many lies."
587,The Pompatus of Love,Woman are a mystery
588,2 Days in the Valley,You have one minute to decide the rest of your life.
589,Farewell My Concubine,
590,Snow White and the Seven Dwarfs,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
591,Aladdin and the King of Thieves,The Spectacular Adventure Continues!
592,Othello,"Envy, greed, jealousy and love."
593,The Net,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
594,Little Women,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
595,Cinderella,The greatest love story ever told.
596,The Fox and the Hound,A story of two friends who didn't know they were supposed to be enemies.
597,Spellbound,The maddest love that ever possessed a woman.
598,Everyone Says I Love You,
599,Desperado,"When the smoke clears, it just means he's reloading."
600,Three Colors: Blue,
601,Flipper,This summer it's finally safe to go back in the water.
602,Girl 6,"A fresh, sassy and sexy comedy!"
603,The Apple Dumpling Gang,"Wanted: For chicanery, skulduggery, tomfoolery and habitual bungling!"
604,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
605,The Neverending Story III: Escape from Fantasia,It's a brand new beginning in the adventure that never ends
606,"The Adventures of Priscilla, Queen of the Desert",She's back... Looking as gorgeous and outrageous as ever in a brand new frock.
607,Losing Isaiah,Who decides what makes a mother?
608,Henry V,The great adventure of a king who defied the odds to prove himself a man.
609,Once Upon a Time in the West,There were three men in her life. One to take her... one to love her... and one to kill her.
610,Total Eclipse,Touched by Genius. Cursed by Madness. Blinded by Love.
611,Rumble in the Bronx,No Fear. No Stuntman. No Equal.
612,The Great White Hype,If you can't find the perfect contender....make one.
613,Boys,No one stays innocent forever.
614,Safe,In the 21st century nobody will be... Safe.
615,The Sum of Us,We're all just . . . The Sum of Us.
616,Ninotchka,Greta Garbo laughs!
617,The Trigger Effect,"When Nothing Works, Anything Goes."
618,Singin' in the Rain,What a Glorious Feeling!
619,Emma,Cupid is armed and dangerous!
620,Harriet the Spy,On your case!
621,Chasers,It was supposed to be a routine prisoner transfer. But this was no ordinary prisoner.
622,Annie Hall,A nervous romance.
623,Babe,A little pig goes a long way.
624,The Howling,Imagine your worst fear a reality
625,The Doom Generation,Sex. Violence. Whatever.
626,Gone with the Wind,The greatest romance of all time!
627,Mallrats,They're not there to shop. They're not there to work. They're just there.
628,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.
629,The War Room,They Changed The Way Campaigns Are Won
630,Across the Sea of Time,
631,The Big Blue,Danger...Like Passion...Runs Deep
632,Freeway,Her life is no fairy tale.
633,Welcome to the Dollhouse,Not all girls want to play with dolls.
634,Swiss Family Robinson,THE ADVENTURE OF ADVENTURES!
635,Romper Stomper,Give Him Smack In Head Special ...
636,The Quick and the Dead,Think you are quick enough?
637,Twelfth Night,
638,High School High,A Dangerous Mind is a terrible thing to waste
639,Fluke,Unleash your imagination... and come along on a magical journey. Follow him home.
640,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
641,Little Lord Fauntleroy,
642,What's Love Got to Do with It,Who needs a heart when a heart can be broken?
643,One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?"
644,"Faster, Pussycat! Kill! Kill!",Go-Go For a Wild Ride With the ACTION GIRLS!
645,The Glass Shield,In a world filled with violence... his only weapon is the truth!
646,Leaving Las Vegas,I Love You... The Way You Are.
647,Return of the Jedi,The Empire Falls...
648,The Age of Innocence,In a world of tradition. In an age of innocence. They dared to break the rules.
649,The Program,From Different Worlds They Come To Prove Themselves In The Gritty World of College Football.
650,The Third Man,Hunted by men ... Sought by WOMEN!
651,The Candidate,Too Handsome. Too Young. Too Liberal. Doesn't have a chance. He's PERFECT!
652,Carpool,A dad in a hurry. A man on the run. And five kids with an attitude.
653,Funny Face,'S Wonderful! 'S Marvelous!
654,Unzipped,
655,Manhattan,Woody Allen's New Comedy Hit
656,Shall We Dance,"Foot-free Fred and joyous Ginger...in their gayest, gladdest show!"
657,Terminal Velocity,It's not the fall that kills you...
658,Alien,In space no one can hear you scream.
659,The Three Caballeros,
660,Fear,Together forever. Or else.
661,GoodFellas,Three Decades of Life in the Mafia.
662,Jeffrey,Love is an adventure when one of you is sure... and the other is positive.
663,Small Faces,You are now entering Tongland
664,Crimson Tide,Danger runs deep.
665,Phat Beach,Ain't nothin' but a g-string.
666,Police Story 3: Supercop,"There's never a cop around when you need one, but when this cop's around, all you need is one."
667,An Affair to Remember,In Italy... on the Mediterranean... across an ocean... and all over New York!
668,Muppet Treasure Island,Set sail for Muppet mayhem!
669,Farinelli,Où s'arrête le pouvoir de sa voix?
670,Eyes Without a Face,
671,Shopping,No one leaves without paying...
672,Getting Even with Dad,"..He's not getting mad, he's Getting Even With Dad."
673,Geronimo: An American Legend,A Warrior. A Leader. A Legend.
674,The Women,It's all about men!
675,Mystery Science Theater 3000: The Movie,Every year Hollywood makes hundreds of movies. This is one of them.
676,The Scarlet Letter,
677,Fled,See how they run.
678,The Young Poisoner's Handbook,
679,Dead Presidents,"In this daring heist, the only color that counts is green"
680,Congo,Where you are the endangered species.
681,Demolition Man,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.
682,"Sex, Lies, and Videotape",
683,Circle of Friends,
684,Eraser,He will erase your past to protect your future.
685,The Lawnmower Man,God made him simple. Science made him a god.
686,The Reluctant Debutante,MGM presents the Comedy-Romance in luscious COLOR!
687,Batman: Under the Red Hood,Dare to Look Beneath the Hood.
688,Set It Off,It's about crime. It's about payback. It's about survival.
689,Powder,An extraordinary encounter with another human being.
690,Menace II Society,This is the truth. This is what's real.
691,Til There Was You,
692,Mi Vida Loca,Mothers. Warriors. Sisters. Survivors.
693,To Live,
694,Sunset Boulevard,A Hollywood Story
695,Courage Under Fire,A medal for honor. A search for justice. A battle for truth.
696,Heaven's Prisoners,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice."
697,The Relic,The Next Evolution In Terror.
698,Days of Thunder,You can't stop the thunder.
699,Miami Rhapsody,Love is great. Marriage is a completely different affair.
700,The Truth About Cats & Dogs,Brian's about to discover the woman he loves isn't the woman he loves.
701,Shallow Grave,The award winning thriller that'll bury you with laughs.
702,For Love or Money,He thought there was nothing as seductive as money. He was wrong.
703,Clockers,"When there's murder on the streets, everyone is a suspect."
704,Night of the Living Dead,"If it doesn't scare you, you're already dead!"
705,Ashes of Time,
706,Sophie's Choice,
707,The Pallbearer,Something magical is about to unfold in the most unexpected place.
708,Cat on a Hot Tin Roof,Just one pillow on her bed ... and just one desire in her heart!
709,Serial Mom,"Every Mom Wants to Be Wanted, But Not For Murder One!"
710,Gone Fishin',Even the fish are laughing!
711,Blue in the Face,Welcome to the planet Brooklyn.
712,Beyond Rangoon,Truth has a witness
713,The Sound of Music,The happiest sound in all the world!
714,Bob Roberts,Vote first.  Ask questions later.
715,Penny Serenade,"""Remember the tune they were singing the night we fell in love?..."""
716,The Gate of Heavenly Peace,
717,Reality Bites,A comedy about love in the '90s
718,North,A family comedy that appeals to the child in everyone.
719,Bullets Over Broadway,
720,Strange Days,You know you want it.
721,Boomerang,A Player Who's About to be Played.
722,Trees Lounge,
723,Cosi,
724,Rob Roy,Honor made him a man. Courage made him a hero. History made him a legend.
725,Withnail & I,"If you don't remember the sixties, don't worry - neither did they."
726,White Man's Burden,Reality Just Switched Sides
727,Mulholland Falls,"This isn't America, this is Los Angeles."
728,Priest,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
729,The Specialist,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
730,Dangerous Game,TURBULENCE REDEMPTION HOLLYWOOD
731,The Boys of St. Vincent,
732,Smoke,Where there's smoke... there's laughter!
733,Billy Madison,Billy is going back to school... Way back.
734,Judgment Night,Don't move. Don't whisper. Don't even breathe.
735,A Little Princess,Every girl everywhere is a princess.
736,The Firm,Power can be murder to resist.
737,It's a Wonderful Life,It's a wonderful laugh! It's a wonderful love!
738,Laura,The story of a love that became the most fearful thing that ever happened to a woman!
739,The Abyss,"There's everything you've ever known about adventure, and then there's The Abyss."
740,Top Hat,They're Dancing Cheek-To-Cheek Again!
741,The Crying Game,Play At Your Own Risk.
742,Angela,
743,Gold Diggers: The Secret of Bear Mountain,Some friendships are worth a fortune
744,Dazed and Confused,See it with a bud.
745,The Inspector General,A new comedy kayo from Warner Bros.
746,T-Men,Terrific... and true!
747,Gaslight,Strange drama of a captive sweetheart!
748,Monty Python and the Holy Grail,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.
749,Ed Wood,"When it came to making bad movies, Ed Wood was the best."
750,Maya Lin: A Strong Clear Vision,The story of The Vietnam Veterans Memorial and its inspiring creator.
751,Snowriders,Man Wasn't Meant To Fly... Until Now!
752,Foreign Correspondent,The thrill spectacle of the year!
753,Bonnie and Clyde,They’re young… they’re in love… and they kill people.
754,Faust,
755,The Rock,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.
756,Alice in Wonderland,A world of wonders in One Great Picture
757,Love in the Afternoon,Love is a game any number can play... especially in the afternoon...
758,Blue Chips,
759,Ran,The Greatest Shakespeare Film
760,Trial by Jury,"For one juror, the question of guilt or innocence is a matter of life or death... her own."
761,New Jersey Drive,The Only Thing That Matters Is The Ride
762,The Parent Trap,
763,Killing Zoe,
764,Sliver,You like to watch... don't you?
765,Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty."
766,House Arrest,There's More Than One Way To Keep A Marriage Together...
767,Houseguest,
768,Madonna: Truth or Dare,
769,The Quest,Go the distance
770,Alaska,A missing father. A desperate search. An unforgettable adventure.
771,Addams Family Values,The Family Just Got A Little Stranger
772,The Quiet Man,Action...Excitement...Romance...Fill the Screen !
773,Die Hard,40 Stories. Twelve Terrorists. One Cop.
774,Immortal Beloved,
775,Angel and the Badman,He lived only for revenge...She lived only for his love!
776,A Very Brady Sequel,The more everything changes the more they stay the same.
777,The War,
778,The Grass Harp,Love is a chain of love... as nature is a chain of life.
779,Fear of a Black Hat,The First Drive-By Comedy
780,Palookaville,One foot in the door. The other one in the gutter.
781,Kansas City,"Kansas City, 1934. Anything could happen here. One night it did."
782,Wolf,The animal is out.
783,Man of the House,Jack wants to marry Ben's mother. But there are strings attached.
784,Sabrina,...the chauffeur's daughter who learned her stuff in Paris
785,Barb Wire,Don't call me babe!
786,Force of Evil,
787,Queen Margot,
788,The Air Up There,
789,Blink,"What you can't see, can kill you."
790,Hideaway,He was bought back from the dead... but he didn't come back alone.
791,The Princess Bride,It's as real as the feelings you feel.
792,"Davy Crockett, King of the Wild Frontier",NOW...on the MOTION PICTURE SCREEN!
793,The Ref,They might be his hostages but what they're doing to this guy is criminal.
794,The Paper,"A behind-the-lines look at work, marriage and other forms of combat."
795,Threesome,One girl. Two guys. Three possibilities.
796,Carmen Miranda: Bananas Is My Business,
797,Das Boot,When the hunters become the hunted
798,The Last Time I Saw Paris,The sensational story of youth on a fling
799,Dear God,Many people write to God. Somebody is answering.
800,Drop Dead Fred,Dishes. Relationships. Wind. This guy breaks everything.
801,The Craft,Welcome to the witching hour.
802,Get on the Bus,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus."
803,The Rich Man's Wife,Someone Is Playing A Very Deadly Game...
804,Heavy,
805,That Thing You Do!,In every life there comes a time when that dream you dream becomes that thing you do.
806,Ed,Minor league. Major friendship.
807,"The Good, the Bad and the Ugly",For three men the Civil War wasn't hell. It was practice.
808,Purple Noon,Passion at ten. Envy at eleven. Murder at noon.
809,Beat the Devil,They're Out To Beat the Devil At His Own Game!
810,The Crossing Guard,"...some lives cross, others collide."
811,A Kid in King Arthur's Court,Joust Do It.
812,Escape from L.A.,Snake Is Back.
813,First Knight,Their greatest battle would be for her love.
814,Spanking the Monkey,A gripping comedy about letting go.
815,Assassins,"In the shadows of life, In the business of death, One man found a reason to live..."
816,Pretty Woman,Who knew it was so much fun to be a hooker?
817,Mad Love,A wild and sexy adventure!
818,The Fan,All fans have a favorite player.  This one has a favorite target.
819,E.T. the Extra-Terrestrial,He is afraid. He is alone. He is three million light years from home.
820,Jude,A time without pity. A society without mercy. A love without equal.
821,To Gillian on Her 37th Birthday,Some love lasts a lifetime. Real love lasts forever.
822,My Left Foot: The Story of Christy Brown,"A film about life, laughter, and the occasional miracle."
823,Rear Window,It only takes one witness to spoil the perfect crime.
824,Black Sheep,There's one in every family.
825,All Dogs Go to Heaven 2,Heaven help us! Look who's back in the adventure of 2 lifetimes.
826,Junior,Nothing is inconceivable
827,The Maltese Falcon,A story as EXPLOSIVE as his BLAZING automatics!
828,The Superwife,
829,The Crow: City of Angels,Believe in the power of another
830,Naked,
831,Bread and Chocolate,You'll Laugh Till Your Heart Breaks
832,The Old Man and the Sea,SPENCER TRACY in his most suspenseful role...ERNEST HEMINGWAY'S story of Heroism...Defeat...Victory!
833,Castle Freak,Hideous... hungry... and loose!
834,Carlito's Way,He's got a good future if he can live past next week.
835,The African Queen,The greatest adventure a man ever lived...with a woman!
836,Color of Night,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night."
837,Gigi,Thank heaven for Gigi
838,Surviving Picasso,Only his passion for women could rival his passion for painting.
839,Exotica,"In a world of temptation, obsession is the deadliest desire."
840,Batman & Robin,Strength. Courage. Honor. And loyalty.
841,The Adventures of Robin Hood,Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!
842,Stalingrad,
843,Microcosmos,
844,Celtic Pride,"If you can't beat 'em, steal him."
845,The Apartment,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
846,Fargo,A lot can happen in the middle of nowhere.
847,Wild Reeds,
848,Ransom,Someone is going to pay.
849,Vampire in Brooklyn,A comic tale of horror and seduction.
850,Fly Away Home,
851,The Philadelphia Story,Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!
852,Moll Flanders,The remarkable story of one woman's unbreakable spirit.
853,Fatal Instinct,"Sex, murder and revenge were never this funny."
854,Surviving the Game,The ultimate manhunt.
855,Dead Man Walking,
856,Money Train,"Get on, or GET OUT THE WAY!"
857,His Girl Friday,She learned about men from him!
858,Robin Hood: Prince of Thieves,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law."
859,Before the Rain,Once You Know The Faces You Will Begin To Understand The Story
860,Up Close & Personal,"Every Day we Have, is One More Than We Deserve."
861,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
862,Madame Butterfly,
863,Hoop Dreams,An Extraordinary True Story.
864,The Shadow,The Shadow Knows!
865,Lost Horizon,At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !
866,Bad Girls,It was a dangerous time to be a woman. And a good time to have friends.
867,Three Colors: White,
868,The Fugitive,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
869,Larger Than Life,He's got 5 days to go coast-to-coast. (There's just one BIG problem.)
870,Cabin Boy,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!"
871,Coup de Torchon,
872,Son in Law,He's a relative nightmare.
873,The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
874,Mighty Aphrodite,
875,Radioland Murders,"At station WBN, the hits just keep on coming."
876,I Shot Andy Warhol,You only get one shot at fame.
877,Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.
878,The Godfather: Part II,"I don't feel I have to wipe everybody out, Tom. Just my enemies."
879,Bhaji on the Beach,
880,So Dear to My Heart,
881,To Kill a Mockingbird,
882,The Big Green,The biggest kick of the year!
883,Caught,
884,Jumanji,Roll the dice and unleash the excitement!
885,Die Hard: With a Vengeance,Think fast. Look alive. Die hard.
886,Persuasion,
887,A Simple Twist of Fate,A twist of fate brought them something wonderful... Each other!
888,Barcelona,Americans. Anti Americans. In Love.
889,The Umbrellas of Cherbourg,a film for all the young lovers of the world
890,The Band Wagon,Get Aboard!
891,Eat Drink Man Woman,
892,The 39 Steps,Handcuffed to the girl who double-crossed him
893,Richard III,"I can smile, and murder while I smile"
894,A Fish Called Wanda,"A tale of murder, lust, greed, revenge, and seafood."
895,It Could Happen to You,A cop. A waitress. A lottery ticket.
896,The Wizard of Oz,"We're off to see the Wizard, the wonderful Wizard of Oz!"
897,Bulletproof,Tough cop. Hostile witness.
898,Mother Night,The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.
899,The Santa Clause,What if your dad was Santa Claus?
900,Tin Cup,Golf Pro. Love Amateur.
901,Major Payne,He's looking for a few good men... or a few guys old enough to shave.
902,For Whom the Bell Tolls,Thunderous! Tender! Touching!
903,The Next Karate Kid,Who says the good guy has to be a guy?
904,What Happened Was...,
905,Rosencrantz & Guildenstern Are Dead,
906,Extreme Measures,Not all surgery is intended to cure.
907,Shadow Conspiracy,
908,Nina Takes a Lover,Sometimes you have to break your vow to keep your promise.
909,Before Sunrise,Can the greatest romance of your life last only one night?
910,Hackers,"There is no right or wrong, only fun and boring"
911,The Flower of My Secret,Every woman has a secret...
912,An American in Paris,What a joy! It's M-G-M's Technicolor musical!
913,Dave,"In a country where anybody can become President, anybody just did."
914,The Ballad of Narayama,
915,The Road to Wellville,A comedy of the heart and other organs.
916,Escape to Witch Mountain,Caught in a world where they don't belong... they have one chance to escape!
917,The Ghost and Mrs. Muir,THE SPIRIT... so willing! THE FLESH... so weak! THE ROMANCE... so wonderful!
918,City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
919,Denise Calls Up,"A hilarious heart-ringing fable about life, love and hangups."
920,Boxing Helena,"Beyond love, beyond obsession, there hides something beyond reason."
921,Batman Forever,"Courage now, truth always..."
922,Enchanted April,"It's April in Italy, and anything can happen...even love."
923,Once Upon a Time in America,"Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America."
924,Primal Fear,"Sooner or later, a man who wears two faces forgets which one is real."
925,Kicking and Screaming,Anxiety loves company.
926,The Cure,The best cure for a disease is friendship
927,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
928,My Man Godfrey,
929,Tombstone,Justice is coming.
930,Live Nude Girls,"Sex, Lies and Fantasies... Unrated!"
931,In the Realm of the Senses,
932,The Secret Adventures of Tom Thumb,A nursery crime of epic proportions...
933,Last Summer in the Hamptons,
934,"The Wonderful, Horrible Life of Leni Riefenstahl",
935,A Christmas Carol,"Greater than ""David Copperfield"" !"
936,Land and Freedom,The fight against fascism begins with the fight against Stalinism.
937,Mrs. Parker and the Vicious Circle,"New York in the 1920's. The only place to be was the Algonquin, and the only person to know was Dorothy Parker."
938,Giant,The legendary epic that's as big as Texas.
939,Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
940,Toy Story,
941,Virtuosity,Justice needs a new program.
942,True Crime,Trust no one.
943,Blue Sky,"In a world of secrets, love is the most powerful weapon."
944,Poison Ivy II: Lily,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
945,Kids,
946,Mary Poppins,It's supercalifragilisticexpialidocious!
947,Local Hero,
948,Jack,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!
949,The Chamber,
950,Schindler's List,"Whoever saves one life, saves the world entire."
951,Amadeus,...Everything you've heard is true
952,Thirty Two Short Films About Glenn Gould,The sound of genius.
953,"20,000 Leagues Under the Sea",The mightiest motion picture of them all!
954,Kiss of Death,
955,A Family Thing,"With family, everything is relative."
956,The Innocents,Apparitions? Evils? Corruptions?
957,Carried Away,A story of first loves and last chances.
958,The Empire Strikes Back,The Adventure Continues...
959,Foxfire,It took them 17 years to learn the rules. And one week to break them all.
960,Paris is Burning,Having a ball... Wish you were here.
961,Three Wishes,"If you really believe, magic will find you"
962,Mr. Smith Goes to Washington,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"
963,Cyclo,
964,Rising Sun,A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.
965,The First Wives Club,Don't get mad. Get everything.
966,True Romance,"Stealing, Cheating, Killing. Who said romance was dead?"
967,Se7en,Seven deadly sins. Seven ways to die.
968,Renaissance Man,"One Man's Mission To Teach The Few, The Proud... The Impossible!"
969,The Last Supper,Love... Sex... Life... Death. In this house it's all on the table.
970,The Long Kiss Goodnight,What's forgotten is not always gone.
971,Meet Me in St. Louis,M·G·M's glorious love story with music!
972,Little Odessa,Brothers in blood. Partners in crime.
973,Sudden Death,Terror goes into overtime.
974,The Walking Dead,Surviving the streets was just a rehearsal.
975,Mrs. Doubtfire,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
976,Free Willy 2 - The Adventure Home,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
977,The Perez Family,"On the way to finding a family, she found love."
978,Tie Me Up! Tie Me Down!,A love story... With strings attached!
979,"To Wong Foo, Thanks for Everything! Julie Newmar",Attitude is everything
980,Blown Away,5. 4. 3. 2. 1......Time's Up.
981,Bliss,Love is only the beginning.
982,Widows' Peak,
983,Short Cuts,Short Cuts raises the roof on America.
984,The Mask,From zero to hero.
985,The Mark of Zorro,
986,Tom & Viv,"For better, for worse, forever."
987,My Life and Times With Antonin Artaud,
988,Frankie Starlight,Sometimes the brightest star is the one that shines within.
989,The Frighteners,No Rest for the Wicked.
990,A Damsel in Distress,
991,Beautiful Girls,"Good times never seemed so good,"
992,Above the Rim,Some games you play. Some games play you.
993,The White Balloon,
994,Mr. Wonderful,Sometimes love is a stranger. And sometimes it's someone you've known all your life.
995,The Crow,Real love is forever.
996,Dolores Claiborne,"Sometimes, an accident can be an unhappy woman's best friend."
997,Philadelphia,No one would take on his case... until one man was willing to take on the system.
998,Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.
999,Dead Man,No one can survive becoming a legend.
1000,Tom and Huck,The Original Bad Boys.
1001,Basquiat,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
1002,Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
1003,Bottle Rocket,"They're not really criminals, but everyone's got to have a dream."
1004,Natural Born Killers,The Media Made Them Superstars.
1005,Normal Life,They found the American Dream ... One bullet at a time!
1006,In the Name of the Father,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.
1007,La Haine,Three Young Friends... One Last Chance.
